,Animal Number,gestation,weeks,Device Name,visit_results_new,failed_count,parity
11,3,2,9,Astronaut 109,Automatic robot stop,1.0,Multiparous
122,534,7,7,Astronaut 103,Connection attempt,1.0,Multiparous
157,534,7,25,Astronaut 102,Connection attempt,1.0,Multiparous
183,1297,1,3,Astronaut 103,Automatic robot stop,1.0,Primiparous
187,1297,1,4,Astronaut 103,Stopped by user,1.0,Primiparous
193,1297,1,6,Astronaut 102,Connection attempt,2.0,Primiparous
225,1297,1,19,Astronaut 103,Automatic robot stop,1.0,Primiparous
272,1391,6,9,Astronaut 105,Connection attempt,2.0,Multiparous
357,1940,2,20,Astronaut 112,Connection time,1.0,Multiparous
367,1940,2,29,Astronaut 112,Stopped by user,2.0,Multiparous
373,1940,2,34,Astronaut 112,Connection attempt,1.0,Multiparous
409,1940,3,20,Astronaut 106,Dead milk time,1.0,Multiparous
509,1940,5,8,Astronaut 103,Dead milk time,1.0,Multiparous
565,1940,5,27,Astronaut 103,Dead milk time,1.0,Multiparous
602,1940,5,40,Astronaut 101,Dead milk time,1.0,Multiparous
649,1940,6,13,Astronaut 102,Dead milk time,1.0,Multiparous
717,2930,6,8,Astronaut 117,Connection attempt,1.0,Multiparous
760,14423,6,10,Astronaut 111,Dead milk time,1.0,Multiparous
841,14577,2,2,Astronaut 118,Dead milk time,1.0,Multiparous
842,14577,2,2,Astronaut 118,Stopped by user,1.0,Multiparous
845,14577,2,3,Astronaut 118,Connection time,1.0,Multiparous
855,14577,2,8,Astronaut 118,Dead milk time,1.0,Multiparous
868,14577,2,18,Astronaut 118,Dead milk time,2.0,Multiparous
873,14577,2,22,Astronaut 118,Dead milk time,1.0,Multiparous
876,14577,2,24,Astronaut 118,Dead milk time,1.0,Multiparous
958,14577,5,6,Astronaut 101,Connection attempt,1.0,Multiparous
960,14577,5,7,Astronaut 101,Connection attempt,1.0,Multiparous
976,14577,5,18,Astronaut 107,Dead milk time,1.0,Multiparous
979,14577,5,19,Astronaut 107,Connection time,1.0,Multiparous
985,14577,5,22,Astronaut 107,Automatic robot stop,1.0,Multiparous
987,14577,5,23,Astronaut 107,Connection attempt,1.0,Multiparous
992,14577,5,25,Astronaut 107,Automatic robot stop,1.0,Multiparous
1019,14577,5,37,Astronaut 107,Connection attempt,1.0,Multiparous
1045,14579,5,4,Astronaut 112,Dead milk time,1.0,Multiparous
1047,14579,5,5,Astronaut 110,Dead milk time,2.0,Multiparous
1050,14579,5,5,Astronaut 112,Dead milk time,1.0,Multiparous
1055,14579,5,7,Astronaut 110,Dead milk time,1.0,Multiparous
1077,14579,5,14,Astronaut 110,Dead milk time,1.0,Multiparous
1111,14579,5,25,Astronaut 110,Dead milk time,1.0,Multiparous
1121,14579,5,28,Astronaut 110,Dead milk time,1.0,Multiparous
1125,14579,5,29,Astronaut 110,Dead milk time,1.0,Multiparous
1156,14579,5,39,Astronaut 110,Dead milk time,1.0,Multiparous
1178,14677,5,3,Astronaut 115,Automatic robot stop,1.0,Multiparous
1182,14677,5,4,Astronaut 115,Connection time,3.0,Multiparous
1188,14677,5,7,Astronaut 115,Connection time,1.0,Multiparous
1191,14677,5,8,Astronaut 115,Connection time,1.0,Multiparous
1194,14677,5,9,Astronaut 115,Connection time,1.0,Multiparous
1197,14677,5,10,Astronaut 115,Connection time,2.0,Multiparous
1203,14677,5,12,Astronaut 115,Connection time,1.0,Multiparous
1205,14677,5,13,Astronaut 114,Connection time,1.0,Multiparous
1207,14677,5,13,Astronaut 115,Connection time,1.0,Multiparous
1212,14677,5,15,Astronaut 114,Connection time,1.0,Multiparous
1216,14677,5,16,Astronaut 114,Connection time,4.0,Multiparous
1217,14677,5,16,Astronaut 114,Dead milk time,1.0,Multiparous
1219,14677,5,16,Astronaut 115,Connection time,1.0,Multiparous
1220,14677,5,16,Astronaut 115,Dead milk time,2.0,Multiparous
1225,14677,5,18,Astronaut 114,Connection time,1.0,Multiparous
1227,14677,5,18,Astronaut 115,Connection time,2.0,Multiparous
1228,14677,5,18,Astronaut 115,Dead milk time,1.0,Multiparous
1231,14677,5,19,Astronaut 114,Connection time,1.0,Multiparous
1235,14677,5,20,Astronaut 114,Connection time,3.0,Multiparous
1267,14939,5,12,Astronaut 102,Dead milk time,1.0,Multiparous
1273,14939,5,14,Astronaut 101,Connection attempt,1.0,Multiparous
1286,14939,5,18,Astronaut 101,Connection attempt,2.0,Multiparous
1293,14939,5,20,Astronaut 101,Connection attempt,1.0,Multiparous
1294,14939,5,20,Astronaut 101,Dead milk time,2.0,Multiparous
1298,14939,5,21,Astronaut 101,Connection attempt,1.0,Multiparous
1305,14939,5,23,Astronaut 101,Connection time,1.0,Multiparous
1307,14939,5,23,Astronaut 102,Dead milk time,1.0,Multiparous
1313,14939,5,25,Astronaut 101,Connection attempt,1.0,Multiparous
1338,14939,5,33,Astronaut 101,Dead milk time,1.0,Multiparous
1371,14950,4,32,Astronaut 103,Connection attempt,1.0,Multiparous
1429,14950,4,52,Astronaut 115,Connection time,1.0,Multiparous
1436,14950,4,54,Astronaut 115,Connection time,1.0,Multiparous
1446,14950,4,58,Astronaut 103,Connection time,1.0,Multiparous
1448,14950,4,59,Astronaut 102,Connection time,1.0,Multiparous
1486,14950,4,71,Astronaut 103,Dead milk time,1.0,Multiparous
1516,15087,4,9,Astronaut 104,Dead milk time,1.0,Multiparous
1518,15087,4,9,Astronaut 105,Dead milk time,1.0,Multiparous
1530,15087,4,14,Astronaut 105,Connection attempt,1.0,Multiparous
1609,15114,3,17,Astronaut 104,Dead milk time,1.0,Multiparous
1681,15114,3,45,Astronaut 106,Dead milk time,1.0,Multiparous
1693,15114,4,5,Astronaut 104,Connection attempt,1.0,Multiparous
1748,15114,4,23,Astronaut 106,Dead milk time,2.0,Multiparous
1766,15114,4,29,Astronaut 106,Dead milk time,1.0,Multiparous
1782,15114,4,34,Astronaut 106,Dead milk time,1.0,Multiparous
1839,15114,5,3,Astronaut 113,Connection attempt,1.0,Multiparous
1868,15114,5,12,Astronaut 114,Connection attempt,1.0,Multiparous
1875,15114,5,14,Astronaut 114,Dead milk time,1.0,Multiparous
1909,15114,5,25,Astronaut 114,Dead milk time,1.0,Multiparous
1974,15189,1,8,Astronaut 116,Connection attempt,1.0,Primiparous
2005,15189,1,19,Astronaut 116,Dead milk time,1.0,Primiparous
2028,15189,1,27,Astronaut 116,Automatic robot stop,1.0,Primiparous
2047,15189,1,33,Astronaut 116,Automatic robot stop,1.0,Primiparous
2096,15189,2,8,Astronaut 115,Connection attempt,1.0,Multiparous
2119,15189,2,17,Astronaut 114,Connection time,1.0,Multiparous
2123,15189,2,18,Astronaut 114,Automatic robot stop,1.0,Multiparous
2154,15189,2,30,Astronaut 109,Connection time,1.0,Multiparous
2201,15189,3,4,Astronaut 109,Connection attempt,3.0,Multiparous
2204,15189,3,5,Astronaut 108,Connection attempt,2.0,Multiparous
2218,15189,3,14,Astronaut 109,Connection attempt,1.0,Multiparous
2280,15189,3,40,Astronaut 108,Dead milk time,1.0,Multiparous
2313,15189,4,10,Astronaut 117,Automatic robot stop,1.0,Multiparous
2319,15189,4,12,Astronaut 116,Dead milk time,1.0,Multiparous
2374,15189,4,35,Astronaut 110,Dead milk time,1.0,Multiparous
2379,15189,4,37,Astronaut 110,Dead milk time,1.0,Multiparous
2421,15189,5,10,Astronaut 102,Dead milk time,1.0,Multiparous
2446,15189,5,18,Astronaut 102,Connection attempt,1.0,Multiparous
2510,15195,1,23,Astronaut 106,Dead milk time,1.0,Primiparous
2512,15195,1,24,Astronaut 106,Dead milk time,1.0,Primiparous
2521,15195,1,32,Astronaut 106,Connection attempt,1.0,Primiparous
2522,15195,1,32,Astronaut 106,Dead milk time,1.0,Primiparous
2545,15195,4,17,Astronaut 118,Dead milk time,1.0,Multiparous
2549,15195,4,20,Astronaut 118,Connection attempt,1.0,Multiparous
2578,15195,4,48,Astronaut 118,Connection time,1.0,Multiparous
2579,15195,4,48,Astronaut 118,Dead milk time,1.0,Multiparous
2587,15195,5,4,Astronaut 113,Dead milk time,1.0,Multiparous
2593,15195,5,8,Astronaut 113,Dead milk time,2.0,Multiparous
2602,15195,5,16,Astronaut 113,Dead milk time,1.0,Multiparous
2605,15195,5,18,Astronaut 113,Dead milk time,1.0,Multiparous
2619,15195,5,31,Astronaut 113,Dead milk time,1.0,Multiparous
2674,15291,4,13,Astronaut 103,Dead milk time,1.0,Multiparous
2710,15291,4,26,Astronaut 102,Dead milk time,1.0,Multiparous
2742,15291,4,37,Astronaut 103,Dead milk time,1.0,Multiparous
2753,15291,4,41,Astronaut 102,Dead milk time,1.0,Multiparous
2758,15291,4,42,Astronaut 103,Dead milk time,1.0,Multiparous
2765,15291,4,44,Astronaut 103,Dead milk time,1.0,Multiparous
2774,15291,4,47,Astronaut 102,Dead milk time,1.0,Multiparous
2776,15291,4,47,Astronaut 103,Connection time,1.0,Multiparous
2778,15291,4,48,Astronaut 101,Connection time,4.0,Multiparous
2780,15291,4,48,Astronaut 102,Connection time,2.0,Multiparous
2782,15291,4,48,Astronaut 103,Connection time,3.0,Multiparous
2783,15291,4,49,Astronaut 102,Connection time,1.0,Multiparous
2784,15291,4,49,Astronaut 102,Dead milk time,1.0,Multiparous
2785,15291,4,49,Astronaut 103,Dead milk time,1.0,Multiparous
2794,15291,5,4,Astronaut 103,Connection attempt,1.0,Multiparous
2802,15291,5,7,Astronaut 101,Dead milk time,1.0,Multiparous
2808,15291,5,8,Astronaut 103,Dead milk time,1.0,Multiparous
2812,15291,5,9,Astronaut 103,Dead milk time,2.0,Multiparous
2821,15291,5,12,Astronaut 102,Automatic robot stop,1.0,Multiparous
2842,15291,5,19,Astronaut 101,Dead milk time,1.0,Multiparous
2900,15355,1,30,Astronaut 112,Connection time,1.0,Primiparous
2902,15355,1,31,Astronaut 112,Dead milk time,1.0,Primiparous
2904,15355,1,32,Astronaut 112,Dead milk time,2.0,Primiparous
2906,15355,1,33,Astronaut 112,Connection time,1.0,Primiparous
2907,15355,1,33,Astronaut 112,Dead milk time,1.0,Primiparous
2909,15355,1,34,Astronaut 112,Connection time,1.0,Primiparous
2910,15355,1,34,Astronaut 112,Dead milk time,2.0,Primiparous
2912,15355,1,35,Astronaut 112,Dead milk time,1.0,Primiparous
2914,15355,1,36,Astronaut 112,Connection time,1.0,Primiparous
2915,15355,1,36,Astronaut 112,Dead milk time,2.0,Primiparous
2917,15355,1,37,Astronaut 112,Dead milk time,2.0,Primiparous
2920,15355,1,39,Astronaut 112,Dead milk time,1.0,Primiparous
2922,15355,1,40,Astronaut 112,Connection time,1.0,Primiparous
2923,15355,1,40,Astronaut 112,Dead milk time,4.0,Primiparous
2925,15355,1,41,Astronaut 112,Dead milk time,1.0,Primiparous
2928,15355,1,43,Astronaut 112,Dead milk time,1.0,Primiparous
2930,15355,1,44,Astronaut 112,Connection time,1.0,Primiparous
2931,15355,1,44,Astronaut 112,Dead milk time,2.0,Primiparous
2933,15355,1,45,Astronaut 112,Dead milk time,1.0,Primiparous
2935,15355,1,46,Astronaut 112,Connection time,1.0,Primiparous
2999,15355,2,26,Astronaut 108,Dead milk time,1.0,Multiparous
3039,15355,2,39,Astronaut 109,Automatic robot stop,1.0,Multiparous
3067,15355,2,52,Astronaut 108,Connection time,1.0,Multiparous
3069,15355,2,52,Astronaut 109,Connection time,1.0,Multiparous
3071,15355,2,53,Astronaut 108,Connection time,1.0,Multiparous
3076,15355,2,55,Astronaut 108,Connection time,1.0,Multiparous
3077,15355,2,55,Astronaut 108,Dead milk time,1.0,Multiparous
3087,15355,3,3,Astronaut 102,Automatic robot stop,1.0,Multiparous
3092,15355,3,4,Astronaut 103,Connection time,1.0,Multiparous
3145,15355,3,32,Astronaut 102,Connection time,1.0,Multiparous
3147,15355,3,32,Astronaut 103,Connection time,1.0,Multiparous
3200,15355,4,8,Astronaut 102,Automatic robot stop,1.0,Multiparous
3204,15355,4,9,Astronaut 102,Dead milk time,1.0,Multiparous
3206,15355,4,9,Astronaut 103,Dead milk time,2.0,Multiparous
3214,15355,4,12,Astronaut 103,Automatic robot stop,1.0,Multiparous
3217,15355,4,13,Astronaut 102,Dead milk time,1.0,Multiparous
3224,15355,4,15,Astronaut 102,Dead milk time,1.0,Multiparous
3229,15355,4,17,Astronaut 101,Dead milk time,1.0,Multiparous
3231,15355,4,17,Astronaut 102,Dead milk time,1.0,Multiparous
3237,15355,4,19,Astronaut 102,Dead milk time,1.0,Multiparous
3239,15355,4,19,Astronaut 103,Dead milk time,1.0,Multiparous
3241,15355,4,20,Astronaut 101,Connection time,1.0,Multiparous
3255,15355,4,29,Astronaut 112,Dead milk time,1.0,Multiparous
3257,15355,4,30,Astronaut 112,Connection time,1.0,Multiparous
3258,15355,4,30,Astronaut 112,Dead milk time,2.0,Multiparous
3260,15355,4,31,Astronaut 112,Dead milk time,2.0,Multiparous
3266,15355,4,34,Astronaut 112,Connection time,2.0,Multiparous
3267,15355,4,34,Astronaut 112,Dead milk time,1.0,Multiparous
3270,15355,4,35,Astronaut 112,Dead milk time,4.0,Multiparous
3273,15355,4,36,Astronaut 112,Dead milk time,2.0,Multiparous
3282,15355,4,42,Astronaut 111,Connection time,1.0,Multiparous
3285,15355,4,43,Astronaut 111,Connection time,1.0,Multiparous
3289,15355,4,45,Astronaut 110,Connection time,1.0,Multiparous
3291,15355,4,45,Astronaut 111,Connection time,1.0,Multiparous
3293,15355,4,45,Astronaut 112,Connection time,1.0,Multiparous
3313,15355,5,9,Astronaut 114,Connection time,1.0,Multiparous
3352,15355,5,25,Astronaut 115,Dead milk time,1.0,Multiparous
3386,15439,1,30,Astronaut 115,Connection attempt,1.0,Primiparous
3508,15439,2,29,Astronaut 108,Connection time,1.0,Multiparous
3630,15439,3,29,Astronaut 102,Automatic robot stop,1.0,Multiparous
3635,15439,3,30,Astronaut 103,Automatic robot stop,1.0,Multiparous
3676,15439,3,44,Astronaut 102,Connection attempt,1.0,Multiparous
3736,15439,4,19,Astronaut 103,Connection attempt,1.0,Multiparous
3856,15439,5,12,Astronaut 114,Automatic robot stop,1.0,Multiparous
3866,15439,5,15,Astronaut 114,Automatic robot stop,1.0,Multiparous
3882,15439,5,20,Astronaut 114,Automatic robot stop,1.0,Multiparous
3941,15447,1,22,Astronaut 112,Connection time,1.0,Primiparous
3943,15447,1,23,Astronaut 112,Connection attempt,1.0,Primiparous
3962,15447,1,40,Astronaut 112,Dead milk time,1.0,Primiparous
4117,15447,3,44,Astronaut 118,Dead milk time,1.0,Multiparous
4121,15447,4,2,Astronaut 106,Dead milk time,1.0,Multiparous
4161,15447,4,41,Astronaut 106,Connection attempt,1.0,Multiparous
4179,15447,5,7,Astronaut 102,Dead milk time,1.0,Multiparous
4301,15518,4,19,Astronaut 106,Dead milk time,1.0,Multiparous
4312,15518,4,24,Astronaut 106,Dead milk time,1.0,Multiparous
4329,15518,4,33,Astronaut 104,Connection attempt,1.0,Multiparous
4340,15518,4,37,Astronaut 104,Connection time,1.0,Multiparous
4403,15524,4,5,Astronaut 106,Dead milk time,1.0,Multiparous
4446,15524,4,34,Astronaut 106,Dead milk time,1.0,Multiparous
4456,15524,5,2,Astronaut 101,Dead milk time,1.0,Multiparous
4458,15524,5,3,Astronaut 101,Dead milk time,1.0,Multiparous
4478,15866,2,7,Astronaut 115,Dead milk time,1.0,Multiparous
4489,15866,2,11,Astronaut 115,Connection time,1.0,Multiparous
4498,15866,2,15,Astronaut 114,Connection attempt,1.0,Multiparous
4524,15866,2,25,Astronaut 115,Connection time,1.0,Multiparous
4530,15866,2,27,Astronaut 115,Stopped by user,1.0,Multiparous
4540,15866,2,31,Astronaut 114,Connection time,1.0,Multiparous
4548,15866,2,34,Astronaut 114,Connection time,1.0,Multiparous
4552,15866,2,35,Astronaut 115,Connection time,1.0,Multiparous
4562,15866,2,39,Astronaut 113,Connection attempt,1.0,Multiparous
4563,15866,2,39,Astronaut 113,Connection time,1.0,Multiparous
4565,15866,2,39,Astronaut 114,Connection attempt,1.0,Multiparous
4566,15866,2,39,Astronaut 114,Connection time,1.0,Multiparous
4568,15866,2,39,Astronaut 115,Connection time,1.0,Multiparous
4576,15866,2,42,Astronaut 114,Automatic robot stop,1.0,Multiparous
4597,15866,3,3,Astronaut 118,Connection time,1.0,Multiparous
4628,15866,3,36,Astronaut 118,Connection time,1.0,Multiparous
4630,15866,3,37,Astronaut 118,Connection time,1.0,Multiparous
4640,15866,4,2,Astronaut 103,Connection attempt,1.0,Multiparous
4704,15866,4,25,Astronaut 103,Connection attempt,1.0,Multiparous
4777,15866,5,8,Astronaut 103,Connection attempt,1.0,Multiparous
4780,15866,5,9,Astronaut 102,Dead milk time,1.0,Multiparous
4784,15866,5,10,Astronaut 102,Dead milk time,1.0,Multiparous
4817,15866,5,22,Astronaut 103,Automatic robot stop,1.0,Multiparous
4892,15945,1,27,Astronaut 112,Dead milk time,1.0,Primiparous
4941,15945,2,5,Astronaut 104,Automatic robot stop,1.0,Multiparous
4952,15945,2,8,Astronaut 105,Dead milk time,2.0,Multiparous
4961,15945,2,11,Astronaut 104,Dead milk time,1.0,Multiparous
4963,15945,2,11,Astronaut 105,Dead milk time,1.0,Multiparous
5006,15945,2,26,Astronaut 104,Automatic robot stop,1.0,Multiparous
5045,15945,2,39,Astronaut 104,Connection time,1.0,Multiparous
5058,15945,3,4,Astronaut 117,Connection time,2.0,Multiparous
5062,15945,3,5,Astronaut 117,Connection time,2.0,Multiparous
5065,15945,3,6,Astronaut 116,Dead milk time,1.0,Multiparous
5067,15945,3,6,Astronaut 117,Connection time,2.0,Multiparous
5092,15945,3,16,Astronaut 116,Connection time,1.0,Multiparous
5108,15945,3,24,Astronaut 117,Automatic robot stop,1.0,Multiparous
5115,15945,3,26,Astronaut 117,Dead milk time,1.0,Multiparous
5186,15945,3,52,Astronaut 116,Stopped by user,1.0,Multiparous
5188,15945,3,52,Astronaut 117,Dead milk time,1.0,Multiparous
5204,15945,4,4,Astronaut 103,Dead milk time,1.0,Multiparous
5209,15945,4,6,Astronaut 101,Dead milk time,1.0,Multiparous
5213,15945,4,7,Astronaut 101,Dead milk time,1.0,Multiparous
5219,15945,4,8,Astronaut 103,Dead milk time,1.0,Multiparous
5228,15945,4,11,Astronaut 102,Dead milk time,1.0,Multiparous
5235,15945,4,13,Astronaut 102,Dead milk time,1.0,Multiparous
5242,15945,4,15,Astronaut 102,Dead milk time,1.0,Multiparous
5258,15945,4,20,Astronaut 102,Dead milk time,1.0,Multiparous
5260,15945,4,20,Astronaut 103,Dead milk time,2.0,Multiparous
5263,15945,4,21,Astronaut 102,Dead milk time,1.0,Multiparous
5267,15945,4,22,Astronaut 102,Dead milk time,1.0,Multiparous
5274,15945,4,24,Astronaut 102,Dead milk time,1.0,Multiparous
5285,15945,4,27,Astronaut 103,Dead milk time,1.0,Multiparous
5288,15945,4,28,Astronaut 102,Dead milk time,3.0,Multiparous
5294,15945,4,30,Astronaut 101,Automatic robot stop,1.0,Multiparous
5303,15945,4,32,Astronaut 103,Dead milk time,1.0,Multiparous
5310,15945,4,34,Astronaut 103,Dead milk time,1.0,Multiparous
5330,15945,4,41,Astronaut 102,Dead milk time,1.0,Multiparous
5360,15945,4,51,Astronaut 116,Connection time,2.0,Multiparous
5362,15945,4,51,Astronaut 117,Connection time,1.0,Multiparous
5365,15945,4,52,Astronaut 116,Connection time,1.0,Multiparous
5367,15945,4,52,Astronaut 117,Connection time,2.0,Multiparous
5369,15945,4,52,Astronaut 118,Connection time,2.0,Multiparous
5371,15945,4,53,Astronaut 116,Connection time,5.0,Multiparous
5373,15945,4,53,Astronaut 117,Connection time,1.0,Multiparous
5375,15945,4,53,Astronaut 118,Connection time,3.0,Multiparous
5377,15945,4,54,Astronaut 116,Connection time,1.0,Multiparous
5379,15945,4,54,Astronaut 117,Connection time,2.0,Multiparous
5381,15945,4,54,Astronaut 118,Connection time,8.0,Multiparous
5383,15945,4,55,Astronaut 116,Connection time,6.0,Multiparous
5384,15945,4,55,Astronaut 116,Dead milk time,1.0,Multiparous
5386,15945,4,55,Astronaut 118,Connection time,4.0,Multiparous
5387,15945,4,55,Astronaut 118,Dead milk time,3.0,Multiparous
5498,15949,4,27,Astronaut 103,Dead milk time,1.0,Multiparous
5502,15949,4,28,Astronaut 103,Dead milk time,1.0,Multiparous
5506,15949,4,29,Astronaut 103,Dead milk time,1.0,Multiparous
5509,15949,4,30,Astronaut 102,Connection attempt,1.0,Multiparous
5653,16015,5,4,Astronaut 118,Dead milk time,1.0,Multiparous
5667,16057,2,2,Astronaut 107,Connection time,1.0,Multiparous
5681,16057,2,9,Astronaut 110,Dead milk time,1.0,Multiparous
5686,16057,2,11,Astronaut 111,Dead milk time,1.0,Multiparous
5708,16057,2,25,Astronaut 111,Connection attempt,1.0,Multiparous
5709,16057,2,25,Astronaut 111,Connection time,3.0,Multiparous
5711,16057,2,26,Astronaut 110,Connection time,2.0,Multiparous
5713,16057,2,26,Astronaut 111,Connection time,7.0,Multiparous
5716,16057,2,27,Astronaut 110,Connection time,2.0,Multiparous
5740,16057,2,37,Astronaut 104,Connection time,1.0,Multiparous
5752,16057,2,42,Astronaut 104,Dead milk time,1.0,Multiparous
5757,16057,3,2,Astronaut 101,Connection time,1.0,Multiparous
5766,16057,3,9,Astronaut 101,Connection time,1.0,Multiparous
5768,16057,3,10,Astronaut 101,Connection time,5.0,Multiparous
5770,16057,3,11,Astronaut 101,Connection time,4.0,Multiparous
5773,16057,3,12,Astronaut 101,Connection time,3.0,Multiparous
5775,16057,3,13,Astronaut 101,Connection attempt,1.0,Multiparous
5776,16057,3,13,Astronaut 101,Connection time,5.0,Multiparous
5779,16057,3,14,Astronaut 101,Connection time,2.0,Multiparous
5782,16057,3,19,Astronaut 101,Connection time,1.0,Multiparous
5784,16057,3,20,Astronaut 101,Connection time,3.0,Multiparous
5786,16057,3,21,Astronaut 101,Connection time,1.0,Multiparous
5790,16057,3,24,Astronaut 101,Connection time,2.0,Multiparous
5792,16057,3,25,Astronaut 101,Connection time,2.0,Multiparous
5796,16057,3,28,Astronaut 101,Connection time,2.0,Multiparous
5800,16057,3,31,Astronaut 101,Automatic robot stop,1.0,Multiparous
5861,16057,4,19,Astronaut 116,Stopped by user,1.0,Multiparous
5899,16057,4,32,Astronaut 117,Automatic robot stop,1.0,Multiparous
5931,16057,4,43,Astronaut 117,Automatic robot stop,1.0,Multiparous
5999,16057,5,19,Astronaut 103,Dead milk time,1.0,Multiparous
6027,16057,5,29,Astronaut 101,Dead milk time,1.0,Multiparous
6054,16119,4,13,Astronaut 106,Automatic robot stop,1.0,Multiparous
6077,16133,1,7,Astronaut 103,Dead milk time,1.0,Primiparous
6083,16133,1,9,Astronaut 102,Dead milk time,1.0,Primiparous
6088,16133,1,10,Astronaut 103,Dead milk time,1.0,Primiparous
6092,16133,1,11,Astronaut 103,Dead milk time,2.0,Primiparous
6099,16133,1,13,Astronaut 103,Dead milk time,1.0,Primiparous
6102,16133,1,14,Astronaut 102,Connection attempt,1.0,Primiparous
6104,16133,1,14,Astronaut 103,Dead milk time,3.0,Primiparous
6106,16133,1,15,Astronaut 101,Dead milk time,1.0,Primiparous
6108,16133,1,15,Astronaut 102,Dead milk time,1.0,Primiparous
6110,16133,1,15,Astronaut 103,Dead milk time,3.0,Primiparous
6112,16133,1,16,Astronaut 101,Connection attempt,1.0,Primiparous
6113,16133,1,16,Astronaut 101,Dead milk time,1.0,Primiparous
6115,16133,1,16,Astronaut 102,Dead milk time,1.0,Primiparous
6117,16133,1,16,Astronaut 103,Dead milk time,3.0,Primiparous
6123,16133,5,3,Astronaut 108,Dead milk time,1.0,Multiparous
6138,16133,5,8,Astronaut 107,Connection attempt,1.0,Multiparous
6143,16137,5,3,Astronaut 118,Dead milk time,2.0,Multiparous
6203,16141,2,17,Astronaut 107,Connection attempt,1.0,Multiparous
6204,16141,2,17,Astronaut 107,Dead milk time,1.0,Multiparous
6206,16141,2,17,Astronaut 108,Connection attempt,2.0,Multiparous
6216,16141,2,21,Astronaut 109,Stopped by user,1.0,Multiparous
6269,16141,4,26,Astronaut 109,Connection attempt,1.0,Multiparous
6274,16141,4,28,Astronaut 109,Connection attempt,1.0,Multiparous
6277,16141,4,29,Astronaut 109,Connection attempt,2.0,Multiparous
6289,16177,4,4,Astronaut 103,Stopped by user,1.0,Multiparous
6413,16220,1,23,Astronaut 113,Dead milk time,2.0,Primiparous
6415,16220,1,24,Astronaut 113,Dead milk time,3.0,Primiparous
6422,16220,1,30,Astronaut 113,Connection attempt,1.0,Primiparous
6435,16220,1,41,Astronaut 113,Connection time,1.0,Primiparous
6473,16220,2,6,Astronaut 118,Automatic robot stop,1.0,Multiparous
6498,16220,2,15,Astronaut 116,Automatic robot stop,1.0,Multiparous
6573,16220,2,45,Astronaut 116,Dead milk time,1.0,Multiparous
6654,16220,3,21,Astronaut 103,Dead milk time,1.0,Multiparous
6662,16220,3,24,Astronaut 101,Dead milk time,1.0,Multiparous
6691,16220,3,33,Astronaut 103,Dead milk time,1.0,Multiparous
6695,16220,3,34,Astronaut 103,Dead milk time,1.0,Multiparous
6706,16220,3,38,Astronaut 101,Dead milk time,1.0,Multiparous
6728,16220,3,45,Astronaut 102,Dead milk time,1.0,Multiparous
6783,16220,4,19,Astronaut 113,Dead milk time,1.0,Multiparous
6800,16220,4,24,Astronaut 114,Dead milk time,1.0,Multiparous
6886,16222,5,4,Astronaut 105,Dead milk time,1.0,Multiparous
6919,16309,1,22,Astronaut 113,Dead milk time,1.0,Primiparous
6925,16309,1,27,Astronaut 113,Dead milk time,1.0,Primiparous
6940,16309,1,41,Astronaut 113,Connection time,1.0,Primiparous
7022,16309,3,17,Astronaut 105,Automatic robot stop,1.0,Multiparous
7076,16309,3,35,Astronaut 106,Dead milk time,1.0,Multiparous
7080,16309,3,36,Astronaut 106,Dead milk time,1.0,Multiparous
7197,16309,4,32,Astronaut 116,Automatic robot stop,1.0,Multiparous
7248,16373,1,2,Astronaut 112,Connection attempt,1.0,Primiparous
7265,16373,1,12,Astronaut 112,Connection attempt,1.0,Primiparous
7267,16373,1,13,Astronaut 112,Connection attempt,1.0,Primiparous
7269,16373,1,14,Astronaut 112,Connection attempt,1.0,Primiparous
7270,16373,1,14,Astronaut 112,Connection time,1.0,Primiparous
7272,16373,1,15,Astronaut 112,Connection time,1.0,Primiparous
7274,16373,1,16,Astronaut 112,Dead milk time,1.0,Primiparous
7276,16373,1,17,Astronaut 112,Connection time,1.0,Primiparous
7278,16373,1,18,Astronaut 112,Dead milk time,1.0,Primiparous
7289,16373,1,28,Astronaut 112,Dead milk time,1.0,Primiparous
7388,16373,3,7,Astronaut 117,Dead milk time,1.0,Multiparous
7463,16373,3,36,Astronaut 116,Dead milk time,1.0,Multiparous
7489,16373,4,4,Astronaut 117,Automatic robot stop,1.0,Multiparous
7506,16373,4,9,Astronaut 118,Connection attempt,1.0,Multiparous
7628,16382,4,25,Astronaut 114,Connection attempt,1.0,Multiparous
7701,16423,4,9,Astronaut 104,Connection time,2.0,Multiparous
7729,16423,4,18,Astronaut 104,Dead milk time,2.0,Multiparous
7736,16423,4,20,Astronaut 104,Connection time,1.0,Multiparous
7741,16423,4,21,Astronaut 105,Automatic robot stop,1.0,Multiparous
7763,16423,4,28,Astronaut 105,Dead milk time,1.0,Multiparous
7782,16423,4,34,Astronaut 105,Dead milk time,1.0,Multiparous
7825,16426,1,6,Astronaut 118,Connection attempt,1.0,Primiparous
7844,16426,1,22,Astronaut 118,Dead milk time,1.0,Primiparous
7863,16426,1,40,Astronaut 118,Connection attempt,2.0,Primiparous
7936,16426,2,23,Astronaut 101,Connection attempt,1.0,Multiparous
8020,16426,3,7,Astronaut 106,Dead milk time,1.0,Multiparous
