,Animal Number,gestation,months,weeks,correct_pen,Device Name,visit_results_new,failed_count,parity
24114,18051,3,11,42,31,Astronaut 105,Automatic robot stop,1.0,Multiparous
24221,18084,3,3,11,30,Astronaut 101,Connection attempt,1.0,Multiparous
24240,18084,3,7,25,30,Astronaut 101,Dead milk time,1.0,Multiparous
24243,18084,3,7,27,30,Astronaut 101,Connection attempt,1.0,Multiparous
24245,18084,3,7,28,30,Astronaut 101,Automatic robot stop,1.0,Multiparous
24249,18084,3,8,30,30,Astronaut 101,Dead milk time,2.0,Multiparous
24254,18084,3,9,33,30,Astronaut 101,Dead milk time,2.0,Multiparous
24301,18084,4,1,3,31,Astronaut 104,Connection time,1.0,Multiparous
24344,18085,3,4,15,32,Astronaut 107,Connection attempt,1.0,Multiparous
24349,18085,3,5,18,32,Astronaut 107,Dead milk time,1.0,Multiparous
24405,18088,1,4,13,32,Astronaut 109,Connection time,1.0,Primiparous
24415,18088,1,5,18,32,Astronaut 109,Connection time,1.0,Primiparous
24452,18088,1,9,33,32,Astronaut 109,Connection attempt,1.0,Primiparous
24455,18088,1,9,34,32,Astronaut 109,Stopped by user,1.0,Primiparous
24492,18088,1,13,51,32,Astronaut 109,Dead milk time,1.0,Primiparous
24589,18088,3,5,16,33,Astronaut 110,Automatic robot stop,1.0,Multiparous
24638,18088,3,8,31,33,Astronaut 110,Stopped by user,1.0,Multiparous
24698,18166,3,3,8,30,Astronaut 103,Connection attempt,1.0,Multiparous
24712,18166,3,4,14,30,Astronaut 103,Connection attempt,1.0,Multiparous
24722,18166,3,5,19,30,Astronaut 103,Dead milk time,3.0,Multiparous
24725,18166,3,5,20,30,Astronaut 102,Dead milk time,3.0,Multiparous
24726,18166,3,5,20,30,Astronaut 103,Connection attempt,1.0,Multiparous
24727,18166,3,5,20,30,Astronaut 103,Dead milk time,2.0,Multiparous
24742,18166,3,7,26,30,Astronaut 102,Dead milk time,1.0,Multiparous
24746,18166,3,7,27,30,Astronaut 102,Dead milk time,1.0,Multiparous
24762,18166,3,8,33,30,Astronaut 103,Connection time,1.0,Multiparous
24776,18166,3,10,39,33,Astronaut 112,Connection time,1.0,Multiparous
24787,18166,4,2,3,32,Astronaut 109,Connection attempt,1.0,Multiparous
24839,18168,3,2,7,34,Astronaut 114,Dead milk time,2.0,Multiparous
24854,18168,3,3,12,34,Astronaut 115,Dead milk time,1.0,Multiparous
24862,18168,3,4,14,34,Astronaut 114,Dead milk time,1.0,Multiparous
24954,18208,3,1,2,31,Astronaut 106,Dead milk time,1.0,Multiparous
25021,18208,3,9,34,31,Astronaut 105,Automatic robot stop,1.0,Multiparous
25089,18225,1,6,21,33,Astronaut 110,Other,1.0,Primiparous
25159,18225,2,6,24,31,Astronaut 104,Dead milk time,1.0,Multiparous
25197,18225,2,9,35,31,Astronaut 106,Dead milk time,1.0,Multiparous
25203,18225,2,9,37,31,Astronaut 105,Dead milk time,1.0,Multiparous
25246,18225,3,3,10,32,Astronaut 107,Dead milk time,1.0,Multiparous
25267,18225,3,4,15,32,Astronaut 109,Dead milk time,1.0,Multiparous
25282,18225,3,5,19,32,Astronaut 108,Dead milk time,1.0,Multiparous
25307,18225,3,7,27,32,Astronaut 107,Connection time,1.0,Multiparous
25309,18225,3,7,27,32,Astronaut 108,Dead milk time,1.0,Multiparous
25417,18246,3,7,26,31,Astronaut 105,Automatic robot stop,1.0,Multiparous
25424,18246,3,7,28,31,Astronaut 105,Automatic robot stop,1.0,Multiparous
25431,18246,3,8,29,31,Astronaut 105,Connection attempt,1.0,Multiparous
25436,18246,3,8,30,31,Astronaut 106,Dead milk time,1.0,Multiparous
25503,18246,3,12,50,31,Astronaut 104,Automatic robot stop,1.0,Multiparous
25542,18259,1,2,7,33,Astronaut 111,Connection time,1.0,Primiparous
25555,18259,1,4,12,33,Astronaut 111,Stopped by user,1.0,Primiparous
25585,18259,1,7,25,33,Astronaut 111,Stopped by user,1.0,Primiparous
25598,18259,1,8,30,33,Astronaut 111,Dead milk time,1.0,Primiparous
25599,18259,1,8,30,33,Astronaut 111,Stopped by user,1.0,Primiparous
25606,18259,1,8,33,33,Astronaut 110,Automatic robot stop,1.0,Primiparous
25613,18259,1,9,34,33,Astronaut 111,Connection attempt,1.0,Primiparous
25614,18259,1,9,34,33,Astronaut 111,Connection time,1.0,Primiparous
25683,18259,2,4,16,31,Astronaut 105,Connection attempt,1.0,Multiparous
25702,18259,2,6,23,31,Astronaut 105,Stopped by user,1.0,Multiparous
25751,18259,2,11,43,31,Astronaut 104,Connection time,2.0,Multiparous
25753,18259,2,11,43,31,Astronaut 105,Connection time,2.0,Multiparous
25756,18259,2,11,44,31,Astronaut 104,Connection time,1.0,Multiparous
25758,18259,2,11,44,31,Astronaut 105,Connection time,2.0,Multiparous
25922,18263,3,3,9,32,Astronaut 107,Automatic robot stop,1.0,Multiparous
25976,18263,3,7,25,32,Astronaut 107,Dead milk time,1.0,Multiparous
26056,18284,3,2,4,30,Astronaut 103,Connection attempt,1.0,Multiparous
26059,18284,3,2,5,30,Astronaut 102,Dead milk time,1.0,Multiparous
26070,18284,3,3,11,30,Astronaut 101,Connection time,1.0,Multiparous
26072,18284,3,3,11,30,Astronaut 102,Dead milk time,1.0,Multiparous
26074,18284,3,3,11,30,Astronaut 103,Dead milk time,1.0,Multiparous
26076,18284,3,3,12,30,Astronaut 102,Dead milk time,1.0,Multiparous
26078,18284,3,3,12,30,Astronaut 103,Dead milk time,1.0,Multiparous
26086,18284,3,4,15,30,Astronaut 101,Dead milk time,1.0,Multiparous
26088,18284,3,4,15,30,Astronaut 102,Dead milk time,2.0,Multiparous
26090,18284,3,4,15,30,Astronaut 103,Dead milk time,1.0,Multiparous
26093,18295,3,1,3,30,Astronaut 101,Dead milk time,1.0,Multiparous
26100,18295,3,2,6,30,Astronaut 101,Connection attempt,1.0,Multiparous
26110,18295,3,4,13,30,Astronaut 101,Automatic robot stop,1.0,Multiparous
26132,18295,3,8,30,31,Astronaut 104,Connection time,1.0,Multiparous
26134,18295,3,8,30,31,Astronaut 105,Dead milk time,1.0,Multiparous
26137,18295,3,8,31,31,Astronaut 104,Connection time,3.0,Multiparous
26140,18295,3,8,31,31,Astronaut 106,Connection time,3.0,Multiparous
26142,18295,3,8,32,31,Astronaut 104,Connection time,3.0,Multiparous
26143,18295,3,8,32,31,Astronaut 104,Dead milk time,1.0,Multiparous
26145,18295,3,8,32,31,Astronaut 105,Connection time,3.0,Multiparous
26147,18295,3,8,32,31,Astronaut 106,Connection time,1.0,Multiparous
26154,18307,1,2,4,33,Astronaut 111,Connection attempt,1.0,Primiparous
26182,18307,1,5,16,33,Astronaut 110,Automatic robot stop,1.0,Primiparous
26186,18307,1,5,17,33,Astronaut 110,Connection time,1.0,Primiparous
26199,18307,1,7,26,33,Astronaut 110,Dead milk time,1.0,Primiparous
26288,18307,3,4,12,32,Astronaut 107,Automatic robot stop,1.0,Multiparous
26355,18318,3,1,2,30,Astronaut 103,Dead milk time,1.0,Multiparous
26360,18318,3,2,3,30,Astronaut 103,Dead milk time,1.0,Multiparous
26366,18318,3,2,5,30,Astronaut 103,Dead milk time,2.0,Multiparous
26369,18318,3,2,6,30,Astronaut 103,Dead milk time,1.0,Multiparous
26376,18318,3,3,8,30,Astronaut 102,Dead milk time,1.0,Multiparous
26379,18318,3,3,9,30,Astronaut 101,Dead milk time,1.0,Multiparous
26385,18318,3,3,11,30,Astronaut 102,Dead milk time,1.0,Multiparous
26394,18318,3,4,13,30,Astronaut 102,Dead milk time,2.0,Multiparous
26421,18318,3,6,22,31,Astronaut 106,Dead milk time,1.0,Multiparous
26449,18318,3,8,31,31,Astronaut 106,Dead milk time,1.0,Multiparous
26501,18321,1,3,11,34,Astronaut 115,Connection time,1.0,Primiparous
26504,18321,1,3,12,34,Astronaut 115,Connection time,1.0,Primiparous
26507,18321,1,4,12,34,Astronaut 114,Other,1.0,Primiparous
26513,18321,1,4,14,34,Astronaut 114,Connection time,1.0,Primiparous
26523,18321,1,5,17,34,Astronaut 114,Connection attempt,1.0,Primiparous
26537,18321,2,2,6,30,Astronaut 102,Connection time,2.0,Multiparous
26541,18321,2,2,7,30,Astronaut 102,Connection time,3.0,Multiparous
26543,18321,2,2,7,30,Astronaut 103,Connection time,1.0,Multiparous
26549,18321,2,3,9,30,Astronaut 102,Connection attempt,1.0,Multiparous
26645,18321,3,1,2,35,Astronaut 116,Dead milk time,1.0,Multiparous
26692,18321,3,4,15,33,Astronaut 110,Connection attempt,1.0,Multiparous
26792,18324,1,2,5,32,Astronaut 107,Connection time,1.0,Primiparous
26827,18324,1,6,24,32,Astronaut 107,Connection time,1.0,Primiparous
26831,18324,1,7,26,32,Astronaut 108,Other,1.0,Primiparous
26844,18324,1,9,35,32,Astronaut 107,Connection time,1.0,Primiparous
26881,18324,2,4,15,32,Astronaut 107,Dead milk time,1.0,Multiparous
26885,18324,2,5,17,32,Astronaut 107,Dead milk time,1.0,Multiparous
26914,18324,2,10,41,32,Astronaut 107,Connection attempt,1.0,Multiparous
26963,18324,3,3,10,34,Astronaut 113,Connection time,1.0,Multiparous
26994,18324,3,5,20,34,Astronaut 113,Connection attempt,1.0,Multiparous
27004,18324,3,6,23,34,Astronaut 113,Connection attempt,1.0,Multiparous
27079,18324,3,12,47,34,Astronaut 113,Dead milk time,1.0,Multiparous
27116,18348,1,2,7,34,Astronaut 115,Automatic robot stop,1.0,Primiparous
27163,18348,1,7,28,34,Astronaut 114,Connection time,1.0,Primiparous
27173,18348,1,8,30,34,Astronaut 115,Connection attempt,1.0,Primiparous
27180,18348,1,8,33,34,Astronaut 113,Connection time,1.0,Primiparous
27209,18348,1,11,46,34,Astronaut 113,Connection time,1.0,Primiparous
27211,18348,1,11,46,34,Astronaut 114,Dead milk time,1.0,Primiparous
27226,18348,1,12,50,34,Astronaut 114,Dead milk time,1.0,Primiparous
27229,18348,1,13,50,34,Astronaut 113,Connection time,1.0,Primiparous
27230,18348,1,13,50,34,Astronaut 113,Dead milk time,2.0,Primiparous
27232,18348,1,13,50,34,Astronaut 114,Connection time,1.0,Primiparous
27235,18348,1,13,51,34,Astronaut 114,Connection time,1.0,Primiparous
27239,18348,1,13,52,34,Astronaut 114,Automatic robot stop,1.0,Primiparous
27249,18348,1,14,55,34,Astronaut 113,Connection time,1.0,Primiparous
27251,18348,1,14,55,34,Astronaut 114,Connection time,1.0,Primiparous
27252,18348,1,14,55,34,Astronaut 114,Dead milk time,1.0,Primiparous
27254,18348,1,14,55,34,Astronaut 115,Connection time,1.0,Primiparous
27256,18348,1,14,56,34,Astronaut 113,Connection time,3.0,Primiparous
27258,18348,1,14,56,34,Astronaut 114,Dead milk time,1.0,Primiparous
27264,18348,1,14,58,34,Astronaut 113,Connection time,1.0,Primiparous
27266,18348,1,14,58,34,Astronaut 114,Connection time,1.0,Primiparous
27268,18348,1,14,58,34,Astronaut 115,Connection time,1.0,Primiparous
27274,18348,1,15,60,34,Astronaut 113,Dead milk time,1.0,Primiparous
27289,18348,2,2,4,35,Astronaut 117,Dead milk time,1.0,Multiparous
27292,18348,2,2,5,35,Astronaut 116,Connection time,1.0,Multiparous
27307,18348,2,3,9,35,Astronaut 116,Connection time,2.0,Multiparous
27337,18348,2,5,17,35,Astronaut 116,Connection time,1.0,Multiparous
27347,18348,2,5,20,35,Astronaut 116,Connection time,1.0,Multiparous
27350,18348,2,5,20,35,Astronaut 118,Connection time,1.0,Multiparous
27381,18348,2,8,29,35,Astronaut 116,Connection time,1.0,Multiparous
27384,18348,2,8,29,35,Astronaut 118,Connection time,2.0,Multiparous
27387,18348,2,8,30,35,Astronaut 117,Connection time,1.0,Multiparous
27399,18348,2,9,33,35,Astronaut 117,Automatic robot stop,1.0,Multiparous
27401,18348,2,9,34,35,Astronaut 116,Automatic robot stop,1.0,Multiparous
27405,18348,2,9,35,35,Astronaut 116,Dead milk time,1.0,Multiparous
27415,18348,2,10,38,35,Astronaut 116,Connection time,1.0,Multiparous
27419,18348,2,10,39,35,Astronaut 116,Connection time,1.0,Multiparous
27421,18348,2,10,39,35,Astronaut 117,Connection time,1.0,Multiparous
27425,18348,2,10,40,35,Astronaut 117,Connection time,1.0,Multiparous
27442,18348,2,11,45,35,Astronaut 117,Dead milk time,1.0,Multiparous
27445,18348,2,11,46,35,Astronaut 117,Dead milk time,1.0,Multiparous
27452,18348,2,12,47,35,Astronaut 117,Connection time,1.0,Multiparous
27456,18348,2,12,48,35,Astronaut 117,Automatic robot stop,1.0,Multiparous
27457,18348,2,12,48,35,Astronaut 117,Dead milk time,1.0,Multiparous
27461,18348,2,12,49,35,Astronaut 117,Dead milk time,1.0,Multiparous
27465,18348,2,12,50,35,Astronaut 117,Dead milk time,1.0,Multiparous
27473,18348,3,1,2,32,Astronaut 108,Connection time,1.0,Multiparous
27512,18348,3,4,12,32,Astronaut 108,Connection time,1.0,Multiparous
27514,18348,3,4,12,32,Astronaut 109,Connection time,1.0,Multiparous
27516,18348,3,4,13,32,Astronaut 107,Connection time,2.0,Multiparous
27537,18348,3,5,19,32,Astronaut 107,Connection time,1.0,Multiparous
27560,18348,3,7,25,32,Astronaut 108,Dead milk time,1.0,Multiparous
27565,18348,3,7,26,32,Astronaut 109,Dead milk time,1.0,Multiparous
27587,18348,3,8,31,32,Astronaut 109,Connection time,1.0,Multiparous
27591,18348,3,8,32,32,Astronaut 109,Connection time,1.0,Multiparous
27594,18348,3,8,33,32,Astronaut 108,Connection time,1.0,Multiparous
27595,18348,3,8,33,32,Astronaut 108,Dead milk time,1.0,Multiparous
27602,18348,3,9,34,32,Astronaut 108,Connection time,1.0,Multiparous
27604,18348,3,9,34,32,Astronaut 109,Connection time,1.0,Multiparous
27607,18348,3,9,35,32,Astronaut 108,Connection time,1.0,Multiparous
27612,18348,3,9,36,32,Astronaut 109,Connection time,1.0,Multiparous
27684,18351,2,6,20,32,Astronaut 108,Connection time,1.0,Multiparous
27686,18351,2,6,21,32,Astronaut 107,Connection attempt,1.0,Multiparous
27702,18351,2,7,27,32,Astronaut 108,Dead milk time,1.0,Multiparous
27730,18351,2,10,38,32,Astronaut 109,Automatic robot stop,1.0,Multiparous
27758,18351,2,12,49,32,Astronaut 107,Connection time,1.0,Multiparous
27771,18351,3,2,5,30,Astronaut 102,Dead milk time,1.0,Multiparous
27810,18351,3,6,23,31,Astronaut 106,Connection time,1.0,Multiparous
27813,18351,3,7,25,31,Astronaut 106,Dead milk time,1.0,Multiparous
27827,18351,3,9,36,31,Astronaut 106,Dead milk time,1.0,Multiparous
27829,18351,3,9,37,31,Astronaut 106,Connection time,1.0,Multiparous
27830,18351,3,9,37,31,Astronaut 106,Dead milk time,1.0,Multiparous
27832,18351,3,10,38,31,Astronaut 106,Connection time,1.0,Multiparous
27834,18351,3,10,39,31,Astronaut 106,Connection time,1.0,Multiparous
27835,18351,3,10,39,31,Astronaut 106,Dead milk time,1.0,Multiparous
27840,18351,3,11,42,31,Astronaut 106,Dead milk time,1.0,Multiparous
27891,18361,2,3,11,35,Astronaut 117,Automatic robot stop,1.0,Multiparous
27962,18361,2,11,42,35,Astronaut 116,Dead milk time,1.0,Multiparous
27986,18361,3,1,2,32,Astronaut 109,Automatic robot stop,1.0,Multiparous
27989,18361,3,1,3,32,Astronaut 109,Dead milk time,1.0,Multiparous
27992,18361,3,2,3,32,Astronaut 109,Connection attempt,1.0,Multiparous
27993,18361,3,2,3,32,Astronaut 109,Dead milk time,1.0,Multiparous
27997,18361,3,2,4,32,Astronaut 109,Dead milk time,1.0,Multiparous
28000,18361,3,2,5,32,Astronaut 109,Connection attempt,1.0,Multiparous
28014,18361,3,3,9,32,Astronaut 109,Connection attempt,1.0,Multiparous
28075,18361,3,7,27,32,Astronaut 109,Automatic robot stop,1.0,Multiparous
28172,18367,3,4,15,31,Astronaut 104,Connection time,1.0,Multiparous
28177,18367,3,5,16,31,Astronaut 104,Dead milk time,1.0,Multiparous
28184,18367,3,5,19,31,Astronaut 105,Connection attempt,1.0,Multiparous
28191,18367,3,6,21,31,Astronaut 105,Connection attempt,1.0,Multiparous
28258,18374,1,2,5,32,Astronaut 107,Connection time,1.0,Primiparous
28268,18374,1,4,12,32,Astronaut 107,Connection attempt,1.0,Primiparous
28285,18374,1,7,26,32,Astronaut 107,Connection attempt,1.0,Primiparous
28286,18374,1,7,26,32,Astronaut 107,Connection time,2.0,Primiparous
28288,18374,1,7,27,32,Astronaut 107,Connection time,2.0,Primiparous
28290,18374,1,7,28,32,Astronaut 107,Connection attempt,1.0,Primiparous
28292,18374,1,7,29,32,Astronaut 107,Connection attempt,1.0,Primiparous
28294,18374,1,8,29,32,Astronaut 107,Connection time,1.0,Primiparous
28296,18374,1,8,30,32,Astronaut 107,Connection time,1.0,Primiparous
28298,18374,1,8,30,32,Astronaut 109,Connection time,1.0,Primiparous
28310,18387,3,3,11,30,Astronaut 101,Dead milk time,3.0,Multiparous
28315,18387,3,4,14,30,Astronaut 101,Dead milk time,1.0,Multiparous
28317,18387,3,4,15,30,Astronaut 101,Dead milk time,2.0,Multiparous
28319,18387,3,4,16,30,Astronaut 101,Dead milk time,1.0,Multiparous
28321,18387,3,5,16,30,Astronaut 101,Dead milk time,5.0,Multiparous
28323,18387,3,5,17,30,Astronaut 101,Dead milk time,3.0,Multiparous
28330,18387,3,6,21,30,Astronaut 102,Dead milk time,1.0,Multiparous
28334,18387,3,6,22,30,Astronaut 102,Dead milk time,2.0,Multiparous
28359,18387,3,7,29,31,Astronaut 106,Dead milk time,1.0,Multiparous
28366,18387,3,8,31,31,Astronaut 104,Dead milk time,1.0,Multiparous
28368,18387,3,8,31,31,Astronaut 105,Dead milk time,1.0,Multiparous
28806,18401,3,4,14,35,Astronaut 118,Connection time,1.0,Multiparous
28843,18401,3,7,27,35,Astronaut 117,Connection attempt,1.0,Multiparous
28897,18414,1,4,15,32,Astronaut 109,Automatic robot stop,1.0,Primiparous
28909,18414,1,6,23,32,Astronaut 108,Dead milk time,1.0,Primiparous
28911,18414,1,6,23,32,Astronaut 109,Connection attempt,1.0,Primiparous
28912,18414,1,6,23,32,Astronaut 109,Connection time,1.0,Primiparous
28929,18414,1,10,38,32,Astronaut 109,Dead milk time,1.0,Primiparous
29048,18414,2,12,48,35,Astronaut 117,Stopped by user,1.0,Multiparous
29067,18458,1,1,3,34,Astronaut 115,Connection time,1.0,Primiparous
29075,18458,1,2,5,34,Astronaut 115,Connection time,1.0,Primiparous
29113,18458,1,5,19,34,Astronaut 115,Stopped by user,1.0,Primiparous
29164,18458,1,11,44,34,Astronaut 113,Connection attempt,1.0,Primiparous
29253,18458,2,8,33,32,Astronaut 107,Dead milk time,1.0,Multiparous
29331,18458,3,7,28,33,Astronaut 110,Connection time,2.0,Multiparous
29333,18458,3,7,28,33,Astronaut 111,Connection time,3.0,Multiparous
29335,18458,3,7,28,33,Astronaut 112,Dead milk time,1.0,Multiparous
29338,18458,3,7,29,33,Astronaut 111,Connection time,1.0,Multiparous
29341,18458,3,8,29,33,Astronaut 111,Connection time,3.0,Multiparous
29343,18458,3,8,30,33,Astronaut 110,Connection time,3.0,Multiparous
29345,18458,3,8,30,33,Astronaut 111,Connection time,2.0,Multiparous
29348,18458,3,8,31,33,Astronaut 110,Connection time,1.0,Multiparous
29350,18458,3,8,31,33,Astronaut 111,Connection time,3.0,Multiparous
29353,18458,3,8,32,33,Astronaut 110,Connection time,2.0,Multiparous
29355,18458,3,8,32,33,Astronaut 111,Connection time,6.0,Multiparous
29356,18458,3,8,32,33,Astronaut 111,Dead milk time,1.0,Multiparous
29360,18458,3,8,33,33,Astronaut 111,Dead milk time,6.0,Multiparous
29364,18458,3,9,34,33,Astronaut 110,Dead milk time,1.0,Multiparous
29366,18458,3,9,34,33,Astronaut 111,Dead milk time,3.0,Multiparous
29367,18458,3,9,35,33,Astronaut 110,Dead milk time,1.0,Multiparous
29369,18458,3,9,35,33,Astronaut 111,Dead milk time,4.0,Multiparous
29370,18458,3,9,36,33,Astronaut 110,Dead milk time,5.0,Multiparous
29372,18458,3,9,36,33,Astronaut 112,Dead milk time,1.0,Multiparous
29374,18458,3,9,37,33,Astronaut 110,Dead milk time,4.0,Multiparous
29376,18458,3,9,37,33,Astronaut 111,Dead milk time,1.0,Multiparous
29378,18458,3,9,37,33,Astronaut 112,Dead milk time,2.0,Multiparous
29380,18458,3,10,38,33,Astronaut 110,Dead milk time,3.0,Multiparous
29382,18458,3,10,38,33,Astronaut 111,Connection time,3.0,Multiparous
29383,18458,3,10,38,33,Astronaut 111,Dead milk time,1.0,Multiparous
29386,18458,3,10,39,33,Astronaut 110,Connection time,2.0,Multiparous
29387,18458,3,10,39,33,Astronaut 110,Dead milk time,1.0,Multiparous
29389,18458,3,10,39,33,Astronaut 111,Dead milk time,2.0,Multiparous
29391,18458,3,10,39,33,Astronaut 112,Connection time,1.0,Multiparous
29393,18458,3,10,40,33,Astronaut 110,Dead milk time,3.0,Multiparous
29395,18458,3,10,40,33,Astronaut 111,Connection time,1.0,Multiparous
29404,18458,3,11,43,33,Astronaut 111,Dead milk time,1.0,Multiparous
29435,18463,2,3,9,32,Astronaut 107,Connection time,1.0,Multiparous
29481,18463,2,6,21,32,Astronaut 107,Dead milk time,1.0,Multiparous
29577,18463,2,12,50,34,Astronaut 114,Connection time,1.0,Multiparous
29737,18474,2,2,7,31,Astronaut 105,Dead milk time,1.0,Multiparous
29925,18474,3,8,29,35,Astronaut 117,Dead milk time,1.0,Multiparous
29959,18474,3,10,42,35,Astronaut 116,Dead milk time,1.0,Multiparous
30114,18479,3,4,12,32,Astronaut 108,Dead milk time,1.0,Multiparous
30119,18479,3,4,13,32,Astronaut 109,Connection attempt,1.0,Multiparous
30226,18484,3,1,3,31,Astronaut 105,Connection time,1.0,Multiparous
30231,18484,3,2,4,31,Astronaut 105,Connection attempt,4.0,Multiparous
30336,18489,1,1,3,34,Astronaut 115,Dead milk time,1.0,Primiparous
30343,18489,1,2,4,34,Astronaut 115,Stopped by user,1.0,Primiparous
30433,18489,1,11,44,34,Astronaut 114,Dead milk time,1.0,Primiparous
30441,18489,1,12,46,34,Astronaut 114,Dead milk time,1.0,Primiparous
30463,18489,1,13,54,34,Astronaut 115,Dead milk time,1.0,Primiparous
30543,18489,3,1,2,30,Astronaut 101,Dead milk time,1.0,Multiparous
30616,18489,3,7,25,35,Astronaut 116,Connection attempt,1.0,Multiparous
30683,18519,1,2,5,34,Astronaut 115,Stopped by user,1.0,Primiparous
30703,18519,1,4,13,34,Astronaut 115,Connection time,1.0,Primiparous
30708,18519,1,4,15,34,Astronaut 115,Connection attempt,1.0,Primiparous
30711,18519,1,4,16,34,Astronaut 114,Dead milk time,2.0,Primiparous
30713,18519,1,4,16,34,Astronaut 115,Dead milk time,1.0,Primiparous
30719,18519,1,5,17,34,Astronaut 114,Connection time,1.0,Primiparous
30723,18519,1,5,19,34,Astronaut 113,Automatic robot stop,1.0,Primiparous
30725,18519,1,5,19,34,Astronaut 114,Connection time,1.0,Primiparous
30729,18519,1,5,20,34,Astronaut 114,Connection time,2.0,Primiparous
30731,18519,1,5,20,34,Astronaut 115,Connection time,1.0,Primiparous
30736,18519,1,6,21,34,Astronaut 114,Automatic robot stop,1.0,Primiparous
30737,18519,1,6,21,34,Astronaut 114,Connection time,3.0,Primiparous
30743,18519,1,6,23,34,Astronaut 115,Connection time,1.0,Primiparous
30766,18519,1,9,35,34,Astronaut 114,Connection time,1.0,Primiparous
30769,18519,1,9,36,34,Astronaut 113,Dead milk time,1.0,Primiparous
30771,18519,1,9,36,34,Astronaut 114,Connection time,1.0,Primiparous
30779,18519,1,10,39,34,Astronaut 115,Automatic robot stop,1.0,Primiparous
30930,18519,3,5,16,30,Astronaut 103,Automatic robot stop,1.0,Multiparous
30992,18523,1,2,4,33,Astronaut 111,Stopped by user,1.0,Primiparous
30998,18523,1,2,6,33,Astronaut 111,Stopped by user,1.0,Primiparous
31060,18523,2,6,23,31,Astronaut 106,Dead milk time,1.0,Multiparous
31064,18523,2,7,25,31,Astronaut 106,Dead milk time,1.0,Multiparous
31074,18523,2,7,28,31,Astronaut 106,Dead milk time,1.0,Multiparous
31077,18523,2,7,29,31,Astronaut 106,Dead milk time,1.0,Multiparous
31087,18523,2,8,31,31,Astronaut 106,Connection attempt,1.0,Multiparous
31110,18523,2,10,38,31,Astronaut 106,Dead milk time,1.0,Multiparous
31114,18523,2,10,39,31,Astronaut 106,Dead milk time,1.0,Multiparous
31121,18523,2,10,41,31,Astronaut 106,Dead milk time,1.0,Multiparous
31123,18523,2,10,42,31,Astronaut 104,Dead milk time,1.0,Multiparous
31125,18523,2,11,42,31,Astronaut 104,Connection time,1.0,Multiparous
31161,18523,3,3,10,31,Astronaut 106,Dead milk time,1.0,Multiparous
31203,18523,3,6,22,31,Astronaut 106,Dead milk time,1.0,Multiparous
31215,18523,3,7,26,31,Astronaut 106,Dead milk time,2.0,Multiparous
31228,18523,3,8,31,31,Astronaut 105,Connection attempt,1.0,Multiparous
31241,18523,3,9,35,31,Astronaut 105,Dead milk time,1.0,Multiparous
31249,18526,3,1,2,35,Astronaut 118,Dead milk time,1.0,Multiparous
31367,18530,1,10,38,33,Astronaut 111,Connection attempt,1.0,Primiparous
31539,18530,3,2,5,32,Astronaut 109,Connection attempt,1.0,Multiparous
31554,18530,3,3,9,32,Astronaut 109,Connection attempt,1.0,Multiparous
31564,18530,3,3,12,32,Astronaut 109,Dead milk time,1.0,Multiparous
31595,18536,1,4,13,33,Astronaut 112,Connection time,1.0,Primiparous
31678,18536,1,13,52,33,Astronaut 112,Connection time,1.0,Primiparous
31685,18536,2,1,3,32,Astronaut 109,Connection attempt,1.0,Multiparous
31689,18536,2,2,4,32,Astronaut 108,Connection attempt,1.0,Multiparous
31690,18536,2,2,4,32,Astronaut 108,Connection time,2.0,Multiparous
31692,18536,2,2,4,32,Astronaut 109,Connection attempt,2.0,Multiparous
31693,18536,2,2,4,32,Astronaut 109,Connection time,3.0,Multiparous
31698,18536,2,2,7,32,Astronaut 107,Connection attempt,1.0,Multiparous
31707,18536,2,3,11,32,Astronaut 107,Connection attempt,1.0,Multiparous
31713,18536,2,4,15,32,Astronaut 107,Dead milk time,1.0,Multiparous
31725,18536,2,5,20,32,Astronaut 107,Connection attempt,1.0,Multiparous
31726,18536,2,5,20,32,Astronaut 107,Connection time,1.0,Multiparous
31793,18547,1,2,7,33,Astronaut 111,Stopped by user,1.0,Primiparous
31805,18547,1,3,11,33,Astronaut 111,Connection attempt,1.0,Primiparous
32011,18547,2,11,44,32,Astronaut 107,Dead milk time,1.0,Multiparous
32066,18547,3,3,12,30,Astronaut 102,Stopped by user,1.0,Multiparous
32201,18554,1,9,37,33,Astronaut 111,Dead milk time,1.0,Primiparous
32252,18554,2,3,9,35,Astronaut 118,Dead milk time,2.0,Multiparous
32277,18554,2,5,16,35,Astronaut 117,Dead milk time,1.0,Multiparous
32412,18554,3,5,17,32,Astronaut 109,Automatic robot stop,1.0,Multiparous
32568,18562,1,4,13,33,Astronaut 111,Automatic robot stop,1.0,Primiparous
32579,18562,1,5,17,33,Astronaut 110,Connection time,1.0,Primiparous
32583,18562,1,5,18,33,Astronaut 110,Automatic robot stop,1.0,Primiparous
32593,18562,1,6,21,33,Astronaut 111,Connection attempt,1.0,Primiparous
32656,18562,2,2,4,31,Astronaut 105,Automatic robot stop,1.0,Multiparous
32680,18562,2,3,11,31,Astronaut 105,Automatic robot stop,1.0,Multiparous
32745,18562,2,8,30,31,Astronaut 104,Dead milk time,1.0,Multiparous
32779,18562,2,10,40,31,Astronaut 105,Dead milk time,1.0,Multiparous
32820,18562,3,3,9,35,Astronaut 116,Automatic robot stop,1.0,Multiparous
